REPORT_ID,Stats Area,Suburb,Postcode,LGA Name,Total Units,Total Cas,Total Fats,Total SI,Total MI,Year,Month,Day,Time,Area Speed,Position Type,Horizontal Align,Vertical Align,Other Feat,Road Surface,Moisture Cond,Weather Cond,DayNight,Crash Type,Unit Resp,Entity Code,CSEF Severity,Traffic Ctrls,DUI Involved,Drugs Involved,ACCLOC_X,ACCLOC_Y,UNIQUE_LOC
2019-28-27/05/2021,2 Metropolitan,MOUNT BARKER,5251,DC MT.BARKER.                 ,2,0,0,0,0,2019,January,Wednesday,11:25 AM,50,T-Junction,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Right Angle,1,Driver Rider,1: PDO,Stop Sign,,,1351919.01,1653411.19,1.35E+13
2019-29-27/05/2021,2 Metropolitan,JUPITER CREEK,5153,DC MT.BARKER.                 ,2,0,0,0,0,2019,January,Wednesday,11:00 AM,80,Not Divided,"CURVED, VIEW OPEN",Level,Not Applicable,Unsealed,Dry,Not Raining,Daylight,Hit Fixed Object,1,Driver Rider,1: PDO,No Control,,,1341546.22,1653025.57,1.34E+13
2019-30-27/05/2021,3 Country,WILLIAMSTOWN,5351,THE BAROSSA COUNCIL.,1,0,0,0,0,2019,January,Wednesday,12:00 PM,50,Not Divided,"CURVED, VIEW OBSCURED",Slope,Not Applicable,Sealed,Dry,Not Raining,Daylight,Roll Over,1,Driver Rider,1: PDO,No Control,,,1355781.03,1698792.99,1.36E+13
2019-31-27/05/2021,2 Metropolitan,SALISBURY EAST,5109,CITY OF TEA TREE GULLY,2,0,0,0,0,2019,January,Wednesday,12:31 PM,80,Divided Road,"CURVED, VIEW OPEN",Slope,Not Applicable,Sealed,Dry,Not Raining,Daylight,Hit Fixed Object,1,Driver Rider,1: PDO,No Control,,,1337475.87,1686122.57,1.34E+13
2019-32-27/05/2021,3 Country,GLOSSOP,5344,THE BERRI BARMERA COUNCIL,2,2,0,0,2,2019,January,Wednesday,1:30 PM,100,T-Junction,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Rear End,1,Driver Rider,2: MI,No Control,,Y,1509788.9,1734583.87,1.51E+13
2019-33-27/05/2021,2 Metropolitan,BROOKLYN PARK,5032,CITY OF WEST TORRENS,2,0,0,0,0,2019,January,Wednesday,2:10 PM,60,T-Junction,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Rear End,2,Driver Rider,1: PDO,Traffic Signals,,,1324111.77,1670938.51,1.32E+13
2019-34-27/05/2021,2 Metropolitan,LOCKLEYS,5032,CITY OF WEST TORRENS,2,0,0,0,0,2019,January,Wednesday,11:54 AM,60,Cross Road,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Side Swipe,2,Driver Rider,1: PDO,Traffic Signals,,,1320928.35,1669976.7,1.32E+13
2019-35-27/05/2021,3 Country,PINE POINT,5571,YORKE PENINSULA COUNCIL,2,0,0,0,0,2019,January,Wednesday,11:40 AM,100,Not Divided,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Head On,2,Driver Rider,1: PDO,No Control,,,1262761.61,1715845.54,1.26E+13
2019-36-27/05/2021,2 Metropolitan,KURRALTA PARK,5037,CITY OF WEST TORRENS,2,0,0,0,0,2019,January,Wednesday,3:50 PM,60,Divided Road,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Rear End,1,Driver Rider,1: PDO,No Control,,,1325604.71,1667588.31,1.33E+13
2019-37-27/05/2021,2 Metropolitan,BIRKENHEAD,5015,CITY OF PORT ADELAIDE ENFIELD,3,1,0,0,1,2019,January,Wednesday,1:30 PM,60,Cross Road,Straight road,Level,Not Applicable,Sealed,Dry,Not Raining,Daylight,Right Angle,1,Driver Rider,2: MI,Traffic Signals,,,1319898.07,1680563.63,1.32E+13
